name	location_district	location_place	location_detail	room_type	room_area	total_price	average_price
天恒水岸壹号	房山	良乡	良乡大学城西站地铁南侧400米，刺猬河旁	3室	185	"850.0000	"	58000
观唐云鼎	密云	密云其它	溪翁庄镇密溪路39号院（云佛山度假村对面）	3室	171	"460.0000	"	30000
运河铭著	通州	北关	商通大道与榆东一街交叉口，温榆河森林公园东500米	2室	100	"460.0000	"	46000
万年广阳郡九号	房山	长阳	长阳清苑南街与汇商东路交汇处西北角	3室	139	"820.0000	"	48500
华远裘马四季	门头沟	大峪	增产路16号院	3室	150	"1000.0000	"	60000
合景映月台	海淀	清河	"安宁庄西路与小营西路交汇处西南侧, 安宁庄西路与小营西路36号院项目"	4室	182	"2200.0000	"	120879
V7九间堂	通州	潞苑	通燕高速耿庄桥北出口中化石油对面	4室	220	"1600.0000	"	68000
御汤山熙园	昌平	昌平其它	紧邻安泗路，距离北六环61号出口约2000米	4室	300	"1800.0000	"	40000
华远和墅	大兴	南中轴机场商务区	南六环磁各庄桥沿南中轴向南2公里	5室	295	"1580.0000	"	54000
天资华府	房山	长阳	房山区CSD政务大厅5号门	2室	94	"480.0000	"	45000
檀香府	门头沟	门头沟其它	京潭大街与潭柘十街交叉口	3室	208	"894.4000	"	43000
观山源墅	房山	良乡	阳光北大街与多宝路交汇处西南（理工大学北校区西侧）	3室	290	"1250.0000	"	47500
西山甲一号	丰台	丰台其它	长辛店生态城园博园南路路北500米	3室	118	"700.0000	"	57000
电建金地华宸	门头沟	门头沟其它	长安街西延线南侧约500米	3室	180	"1400.0000	"	64000
首创天阅西山	海淀	海淀北部新区	永丰路与北清路交汇处东北角，中关村壹号北	3室	175	"1500.0000	"	80000
西山燕庐	门头沟	门头沟其它	长安街延线南约500米	3室	137	"850.0000	"	65000
北科建泰禾丽春湖院子	昌平	沙河	中关村北延新核心，沙河水库边（地铁昌平线沙河站向南800米）	4室	379	"1900.0000	"	50000
首开国风尚樾	朝阳	望京	望京南湖南路三帆中学对面	3室	146	"1960.0000	"	120000
绿地海珀云翡	大兴	大兴其它	兴亦路京开高速东侧（黄村镇第一中心小学对面）	2室	102	"700.0000	"	70000
中粮京西祥云	房山	长阳	地铁稻田站北800米，西邻京深路	4室	115	"680.0000	"	58000
燕西华府	丰台	丰台其它	"王佐镇青龙湖公园东1500米, 泉湖西路1号院（七区）, 泉湖西路1号院（六区）"	4室	60	"650.0000	"	49800
远洋新天地	门头沟	门头沟其它	长安街西延线与滨河路南延交汇处（东南侧）			"260.0000	"	70000
天恒水岸壹号	房山	良乡	良乡大学城西站地铁南侧800米，刺猬河旁	3室	122	"490.0000	"	52000
天恒摩墅	房山	房山其它	周口店镇政府东200米	3室	140	"339.0000	"	29555
兴创荣墅	大兴	大兴新机场洋房别墅区	采育镇育胜街与福源路交叉口西侧350米路南	3室	240	"1100.0000	"	37500
观山源墅	房山	良乡	阳光北大街与多宝路交汇处西南（理工大学北校区西侧）	3室	94	"437.0000	"	47500
润泽御府	朝阳	北苑	北京市朝阳区北五环顾家庄桥向北约2.6公里	4室	540	"5000.0000	"	100000
