,No,year,month,day,hour,season,PM_Dongsi,PM_Dongsihuan,PM_Nongzhanguan,PM_US Post,TEMP,sum,count,average
23,24,2010,1,1,23,4,,,,129.0,-5.0,129.0,1,129.0
24,25,2010,1,2,0,4,,,,148.0,-4.0,148.0,1,148.0
25,26,2010,1,2,1,4,,,,159.0,-4.0,159.0,1,159.0
26,27,2010,1,2,2,4,,,,181.0,-5.0,181.0,1,181.0
27,28,2010,1,2,3,4,,,,138.0,-5.0,138.0,1,138.0
28,29,2010,1,2,4,4,,,,109.0,-5.0,109.0,1,109.0
29,30,2010,1,2,5,4,,,,105.0,-6.0,105.0,1,105.0
30,31,2010,1,2,6,4,,,,124.0,-6.0,124.0,1,124.0
31,32,2010,1,2,7,4,,,,120.0,-5.0,120.0,1,120.0
32,33,2010,1,2,8,4,,,,132.0,-6.0,132.0,1,132.0
33,34,2010,1,2,9,4,,,,140.0,-5.0,140.0,1,140.0
34,35,2010,1,2,10,4,,,,152.0,-5.0,152.0,1,152.0
35,36,2010,1,2,11,4,,,,148.0,-5.0,148.0,1,148.0
36,37,2010,1,2,12,4,,,,164.0,-5.0,164.0,1,164.0
37,38,2010,1,2,13,4,,,,158.0,-5.0,158.0,1,158.0
38,39,2010,1,2,14,4,,,,154.0,-5.0,154.0,1,154.0
39,40,2010,1,2,15,4,,,,159.0,-5.0,159.0,1,159.0
40,41,2010,1,2,16,4,,,,164.0,-5.0,164.0,1,164.0
41,42,2010,1,2,17,4,,,,170.0,-5.0,170.0,1,170.0
42,43,2010,1,2,18,4,,,,149.0,-5.0,149.0,1,149.0
43,44,2010,1,2,19,4,,,,154.0,-5.0,154.0,1,154.0
44,45,2010,1,2,20,4,,,,164.0,-5.0,164.0,1,164.0
45,46,2010,1,2,21,4,,,,156.0,-5.0,156.0,1,156.0
46,47,2010,1,2,22,4,,,,126.0,-6.0,126.0,1,126.0
47,48,2010,1,2,23,4,,,,90.0,-6.0,90.0,1,90.0
48,49,2010,1,3,0,4,,,,63.0,-6.0,63.0,1,63.0
49,50,2010,1,3,1,4,,,,65.0,-6.0,65.0,1,65.0
50,51,2010,1,3,2,4,,,,55.0,-7.0,55.0,1,55.0
51,52,2010,1,3,3,4,,,,65.0,-7.0,65.0,1,65.0
52,53,2010,1,3,4,4,,,,83.0,-7.0,83.0,1,83.0
53,54,2010,1,3,5,4,,,,91.0,-8.0,91.0,1,91.0
54,55,2010,1,3,6,4,,,,86.0,-8.0,86.0,1,86.0
55,56,2010,1,3,7,4,,,,82.0,-9.0,82.0,1,82.0
56,57,2010,1,3,8,4,,,,86.0,-9.0,86.0,1,86.0
57,58,2010,1,3,9,4,,,,78.0,-9.0,78.0,1,78.0
58,59,2010,1,3,10,4,,,,98.0,-9.0,98.0,1,98.0
59,60,2010,1,3,11,4,,,,107.0,-9.0,107.0,1,107.0
60,61,2010,1,3,12,4,,,,90.0,-9.0,90.0,1,90.0
61,62,2010,1,3,13,4,,,,96.0,-9.0,96.0,1,96.0
62,63,2010,1,3,14,4,,,,95.0,-9.0,95.0,1,95.0
63,64,2010,1,3,15,4,,,,86.0,-9.0,86.0,1,86.0
64,65,2010,1,3,16,4,,,,70.0,-9.0,70.0,1,70.0
65,66,2010,1,3,17,4,,,,61.0,-9.0,61.0,1,61.0
66,67,2010,1,3,18,4,,,,53.0,-9.0,53.0,1,53.0
67,68,2010,1,3,19,4,,,,71.0,-9.0,71.0,1,71.0
68,69,2010,1,3,20,4,,,,72.0,-9.0,72.0,1,72.0
69,70,2010,1,3,21,4,,,,76.0,-10.0,76.0,1,76.0
70,71,2010,1,3,22,4,,,,73.0,-9.0,73.0,1,73.0
71,72,2010,1,3,23,4,,,,79.0,-11.0,79.0,1,79.0
72,73,2010,1,4,0,4,,,,58.0,-12.0,58.0,1,58.0
73,74,2010,1,4,1,4,,,,25.0,-9.0,25.0,1,25.0
74,75,2010,1,4,2,4,,,,26.0,-10.0,26.0,1,26.0
75,76,2010,1,4,3,4,,,,28.0,-11.0,28.0,1,28.0
76,77,2010,1,4,4,4,,,,26.0,-11.0,26.0,1,26.0
77,78,2010,1,4,5,4,,,,20.0,-12.0,20.0,1,20.0
78,79,2010,1,4,6,4,,,,29.0,-12.0,29.0,1,29.0
79,80,2010,1,4,7,4,,,,26.0,-13.0,26.0,1,26.0
80,81,2010,1,4,8,4,,,,27.0,-13.0,27.0,1,27.0
81,82,2010,1,4,9,4,,,,27.0,-13.0,27.0,1,27.0
82,83,2010,1,4,10,4,,,,25.0,-12.0,25.0,1,25.0
83,84,2010,1,4,11,4,,,,29.0,-12.0,29.0,1,29.0
84,85,2010,1,4,12,4,,,,32.0,-11.0,32.0,1,32.0
85,86,2010,1,4,13,4,,,,28.0,-10.0,28.0,1,28.0
86,87,2010,1,4,14,4,,,,29.0,-10.0,29.0,1,29.0
87,88,2010,1,4,15,4,,,,30.0,-9.0,30.0,1,30.0
88,89,2010,1,4,16,4,,,,30.0,-9.0,30.0,1,30.0
89,90,2010,1,4,17,4,,,,28.0,-11.0,28.0,1,28.0
90,91,2010,1,4,18,4,,,,26.0,-11.0,26.0,1,26.0
91,92,2010,1,4,19,4,,,,31.0,-12.0,31.0,1,31.0
92,93,2010,1,4,20,4,,,,33.0,-12.0,33.0,1,33.0
93,94,2010,1,4,21,4,,,,29.0,-13.0,29.0,1,29.0
94,95,2010,1,4,22,4,,,,31.0,-13.0,31.0,1,31.0
95,96,2010,1,4,23,4,,,,30.0,-15.0,30.0,1,30.0
96,97,2010,1,5,0,4,,,,34.0,-17.0,34.0,1,34.0
97,98,2010,1,5,1,4,,,,27.0,-18.0,27.0,1,27.0
98,99,2010,1,5,2,4,,,,25.0,-19.0,25.0,1,25.0
99,100,2010,1,5,3,4,,,,28.0,-18.0,28.0,1,28.0
100,101,2010,1,5,4,4,,,,28.0,-19.0,28.0,1,28.0
101,102,2010,1,5,5,4,,,,27.0,-16.0,27.0,1,27.0
102,103,2010,1,5,6,4,,,,27.0,-16.0,27.0,1,27.0
103,104,2010,1,5,7,4,,,,27.0,-16.0,27.0,1,27.0
104,105,2010,1,5,8,4,,,,29.0,-16.0,29.0,1,29.0
105,106,2010,1,5,9,4,,,,36.0,-15.0,36.0,1,36.0
106,107,2010,1,5,10,4,,,,30.0,-14.0,30.0,1,30.0
107,108,2010,1,5,11,4,,,,27.0,-13.0,27.0,1,27.0
108,109,2010,1,5,12,4,,,,39.0,-12.0,39.0,1,39.0
109,110,2010,1,5,13,4,,,,41.0,-11.0,41.0,1,41.0
110,111,2010,1,5,14,4,,,,33.0,-11.0,33.0,1,33.0
111,112,2010,1,5,15,4,,,,50.0,-11.0,50.0,1,50.0
112,113,2010,1,5,16,4,,,,56.0,-11.0,56.0,1,56.0
113,114,2010,1,5,17,4,,,,59.0,-11.0,59.0,1,59.0
114,115,2010,1,5,18,4,,,,60.0,-11.0,60.0,1,60.0
115,116,2010,1,5,19,4,,,,84.0,-13.0,84.0,1,84.0
116,117,2010,1,5,20,4,,,,106.0,-12.0,106.0,1,106.0
117,118,2010,1,5,21,4,,,,66.0,-18.0,66.0,1,66.0
118,119,2010,1,5,22,4,,,,50.0,-13.0,50.0,1,50.0
119,120,2010,1,5,23,4,,,,56.0,-16.0,56.0,1,56.0
120,121,2010,1,6,0,4,,,,77.0,-17.0,77.0,1,77.0
121,122,2010,1,6,1,4,,,,50.0,-14.0,50.0,1,50.0
122,123,2010,1,6,2,4,,,,44.0,-14.0,44.0,1,44.0
123,124,2010,1,6,3,4,,,,27.0,-14.0,27.0,1,27.0
124,125,2010,1,6,4,4,,,,28.0,-14.0,28.0,1,28.0
125,126,2010,1,6,5,4,,,,21.0,-14.0,21.0,1,21.0
126,127,2010,1,6,6,4,,,,25.0,-14.0,25.0,1,25.0
127,128,2010,1,6,7,4,,,,20.0,-15.0,20.0,1,20.0
128,129,2010,1,6,8,4,,,,29.0,-14.0,29.0,1,29.0
129,130,2010,1,6,9,4,,,,34.0,-13.0,34.0,1,34.0
130,131,2010,1,6,10,4,,,,42.0,-12.0,42.0,1,42.0
131,132,2010,1,6,11,4,,,,28.0,-11.0,28.0,1,28.0
132,133,2010,1,6,12,4,,,,36.0,-10.0,36.0,1,36.0
133,134,2010,1,6,13,4,,,,48.0,-10.0,48.0,1,48.0
134,135,2010,1,6,14,4,,,,49.0,-9.0,49.0,1,49.0
135,136,2010,1,6,15,4,,,,52.0,-8.0,52.0,1,52.0
136,137,2010,1,6,16,4,,,,56.0,-8.0,56.0,1,56.0
137,138,2010,1,6,17,4,,,,96.0,-9.0,96.0,1,96.0
138,139,2010,1,6,18,4,,,,75.0,-9.0,75.0,1,75.0
139,140,2010,1,6,19,4,,,,105.0,-14.0,105.0,1,105.0
140,141,2010,1,6,20,4,,,,132.0,-12.0,132.0,1,132.0
141,142,2010,1,6,21,4,,,,93.0,-14.0,93.0,1,93.0
142,143,2010,1,6,22,4,,,,131.0,-16.0,131.0,1,131.0
143,144,2010,1,6,23,4,,,,127.0,-16.0,127.0,1,127.0
144,145,2010,1,7,0,4,,,,130.0,-16.0,130.0,1,130.0
145,146,2010,1,7,1,4,,,,43.0,-16.0,43.0,1,43.0
146,147,2010,1,7,2,4,,,,37.0,-18.0,37.0,1,37.0
147,148,2010,1,7,3,4,,,,30.0,-15.0,30.0,1,30.0
148,149,2010,1,7,4,4,,,,28.0,-16.0,28.0,1,28.0
149,150,2010,1,7,5,4,,,,24.0,-15.0,24.0,1,24.0
150,151,2010,1,7,6,4,,,,23.0,-15.0,23.0,1,23.0
151,152,2010,1,7,7,4,,,,24.0,-13.0,24.0,1,24.0
152,153,2010,1,7,8,4,,,,27.0,-14.0,27.0,1,27.0
153,154,2010,1,7,9,4,,,,40.0,-12.0,40.0,1,40.0
154,155,2010,1,7,10,4,,,,42.0,-11.0,42.0,1,42.0
155,156,2010,1,7,11,4,,,,42.0,-10.0,42.0,1,42.0
156,157,2010,1,7,12,4,,,,55.0,-9.0,55.0,1,55.0
157,158,2010,1,7,13,4,,,,52.0,-8.0,52.0,1,52.0
158,159,2010,1,7,14,4,,,,51.0,-7.0,51.0,1,51.0
159,160,2010,1,7,15,4,,,,57.0,-7.0,57.0,1,57.0
160,161,2010,1,7,16,4,,,,50.0,-8.0,50.0,1,50.0
161,162,2010,1,7,17,4,,,,54.0,-9.0,54.0,1,54.0
162,163,2010,1,7,18,4,,,,67.0,-11.0,67.0,1,67.0
163,164,2010,1,7,19,4,,,,106.0,-11.0,106.0,1,106.0
164,165,2010,1,7,20,4,,,,159.0,-15.0,159.0,1,159.0
165,166,2010,1,7,21,4,,,,198.0,-14.0,198.0,1,198.0
166,167,2010,1,7,22,4,,,,190.0,-14.0,190.0,1,190.0
167,168,2010,1,7,23,4,,,,210.0,-16.0,210.0,1,210.0
168,169,2010,1,8,0,4,,,,195.0,-17.0,195.0,1,195.0
169,170,2010,1,8,1,4,,,,275.0,-16.0,275.0,1,275.0
170,171,2010,1,8,2,4,,,,164.0,-16.0,164.0,1,164.0
171,172,2010,1,8,3,4,,,,110.0,-15.0,110.0,1,110.0
172,173,2010,1,8,4,4,,,,100.0,-15.0,100.0,1,100.0
