month,day,year,Beijing,Shanghai,Guangzhou,Shenyang,Chengdu
1,1,2015,47.4,43.04,51.53,35.43,148.79
1,2,2015,58.42,83.9,60.65,48.18,168.44
1,3,2015,205.17,97.67,115.0,58.56,149.47
1,4,2015,205.38,126.04,74.96,102.78,170.78
1,5,2015,91.77,84.35,73.33,81.51,127.81
1,6,2015,33.56,85.11,99.56,30.51,45.4
1,7,2015,68.8,39.78,52.58,38.24,66.81
1,8,2015,171.74,76.25,53.53,170.72,77.51
1,9,2015,102.28,156.04,61.89,233.94,87.71
1,10,2015,189.23,178.9,61.46,143.72,84.39
1,11,2015,34.0,195.25,59.67,100.17,124.15
1,12,2015,104.79,20.62,32.56,187.53,108.56
1,13,2015,197.04,20.03,16.97,142.49,189.61
1,14,2015,249.91,25.51,25.23,181.37,185.51
1,15,2015,370.18,82.69,51.29,178.61,219.79
1,16,2015,90.32,116.08,65.04,80.78,113.23
1,17,2015,68.84,80.07,50.92,63.25,164.79
1,18,2015,83.79,86.54,79.99,95.44,79.2
1,19,2015,49.35,89.84,73.17,80.04,121.64
1,20,2015,91.17,35.5,151.53,212.79,152.9
1,21,2015,13.91,109.52,135.73,137.43,153.99
1,22,2015,125.93,130.36,63.7,339.06,186.35
1,23,2015,245.27,116.39,72.71,216.79,207.78
1,24,2015,88.57,110.76,84.9,118.82,157.18
1,25,2015,135.94,133.62,91.97,182.9,165.94
1,26,2015,99.86,106.56,96.6,75.08,146.2
1,27,2015,20.42,51.02,81.06,37.35,143.42
1,28,2015,44.33,19.81,59.04,142.39,29.69
1,29,2015,60.51,15.89,66.9,111.21,44.2
1,30,2015,11.67,75.21,41.46,33.18,58.43
1,31,2015,39.86,35.26,42.97,132.86,39.36
2,1,2015,94.05,23.96,48.85,177.29,51.2
2,2,2015,162.56,30.94,68.08,168.04,64.84
2,3,2015,106.72,43.42,98.82,141.81,86.62
2,4,2015,9.7,179.78,58.85,85.56,82.46
2,5,2015,28.67,95.33,50.8,93.67,82.06
2,6,2015,81.43,74.14,98.89,110.14,115.87
2,7,2015,9.47,107.32,109.24,21.07,87.74
2,8,2015,29.33,47.11,71.88,31.19,89.61
2,9,2015,129.11,31.57,77.14,87.75,131.93
2,10,2015,145.96,54.97,107.04,110.85,144.38
2,11,2015,53.39,80.46,129.79,75.22,140.4
2,12,2015,35.96,167.2,122.15,38.75,137.82
2,13,2015,151.48,49.15,74.86,82.22,152.29
2,14,2015,295.03,57.0,70.76,148.02,163.44
2,15,2015,316.48,57.03,101.42,266.74,129.83
2,16,2015,122.59,115.17,69.66,180.56,64.97
2,17,2015,44.45,123.54,52.28,56.38,94.56
2,18,2015,69.36,67.41,65.82,83.77,90.46
2,19,2015,205.16,19.92,69.68,422.21,118.28
2,20,2015,143.16,16.49,41.36,62.51,53.71
2,21,2015,156.46,58.08,42.21,61.67,69.04
2,22,2015,42.98,117.68,42.0,173.88,38.29
2,23,2015,59.89,53.81,26.64,34.43,31.04
2,24,2015,178.35,44.72,35.14,84.63,41.33
2,25,2015,66.24,24.48,30.7,74.61,33.89
2,26,2015,15.11,54.25,29.46,27.5,34.57
2,27,2015,25.24,20.82,22.58,48.4,38.22
2,28,2015,111.94,16.57,24.18,89.47,26.46
3,1,2015,41.17,80.89,11.4,56.74,43.57
